month,level_2,value
1968-08,Transport,20.632
1968-09,Food,24.58
1968-09,Food Excl Food Serving Services, 
1968-09,Food Serving Services, 
1968-09,Housing & Utilities,28.893
1968-09,Transport,20.632
1968-10,Food,24.444
1968-10,Food Excl Food Serving Services, 
1968-10,Food Serving Services, 
1968-10,Housing & Utilities,29.071
1968-10,Transport,20.632
1968-11,Food,24.338
1968-11,Food Excl Food Serving Services, 
1968-11,Food Serving Services, 
1968-11,Housing & Utilities,29.054
1968-11,Transport,20.632
1968-12,Food,24.255
1968-12,Food Excl Food Serving Services, 
1968-12,Food Serving Services, 
1968-12,Housing & Utilities,28.721
1968-12,Transport,20.632
1969-01,Food,24.178
1969-01,Food Excl Food Serving Services, 
1969-01,Food Serving Services, 
1969-01,Housing & Utilities,29.103
1969-01,Transport,20.675
1969-02,Food,24.07
1969-02,Food Excl Food Serving Services, 
1969-02,Food Serving Services, 
1969-02,Housing & Utilities,29.22
1969-02,Transport,20.675
1969-03,Food,24.213
1969-03,Food Excl Food Serving Services, 
1969-03,Food Serving Services, 
1969-03,Housing & Utilities,29.22
1969-03,Transport,20.675
1969-04,Food,24.05
1969-04,Food Excl Food Serving Services, 
1969-04,Food Serving Services, 
1969-04,Housing & Utilities,29.22
1969-04,Transport,20.675
1969-05,Food,24.401
1969-05,Food Excl Food Serving Services, 
1969-05,Food Serving Services, 
1969-05,Housing & Utilities,29.464
1969-05,Transport,20.675
1969-06,Food,24.193
1969-06,Food Excl Food Serving Services, 
1969-06,Food Serving Services, 
1969-06,Housing & Utilities,29.534
1969-06,Transport,20.675
1969-07,Food,24.051
1969-07,Food Excl Food Serving Services, 
1969-07,Food Serving Services, 
1969-07,Housing & Utilities,29.534
1969-07,Transport,20.675
1969-08,Food,24.245
1969-08,Food Excl Food Serving Services, 
1969-08,Food Serving Services, 
1969-08,Housing & Utilities,29.587
1969-08,Transport,20.675
1969-09,Food,24.273
1969-09,Food Excl Food Serving Services, 
1969-09,Food Serving Services, 
1969-09,Housing & Utilities,29.587
1969-09,Transport,20.675
1969-10,Food,23.968
1969-10,Food Excl Food Serving Services, 
1969-10,Food Serving Services, 
1969-10,Housing & Utilities,29.587
1969-10,Transport,20.675
1969-11,Food,24.401
1969-11,Food Excl Food Serving Services, 
1969-11,Food Serving Services, 
1969-11,Housing & Utilities,29.563
1969-11,Transport,20.675
1969-12,Food,24.962
1969-12,Food Excl Food Serving Services, 
1969-12,Food Serving Services, 
1969-12,Housing & Utilities,29.563
1969-12,Transport,20.675
1970-01,Food,24.483
1970-01,Food Excl Food Serving Services, 
1970-01,Food Serving Services, 
1970-01,Housing & Utilities,28.83
1970-01,Transport,20.652
1970-02,Food,24.505
1970-02,Food Excl Food Serving Services, 
1970-02,Food Serving Services, 
1970-02,Housing & Utilities,28.83
1970-02,Transport,20.652
1970-03,Food,23.874
1970-03,Food Excl Food Serving Services, 
1970-03,Food Serving Services, 
1970-03,Housing & Utilities,29.383
1970-03,Transport,20.652
1970-04,Food,23.842
1970-04,Food Excl Food Serving Services, 
1970-04,Food Serving Services, 
1970-04,Housing & Utilities,29.876
1970-04,Transport,20.652
1970-05,Food,23.872
1970-05,Food Excl Food Serving Services, 
1970-05,Food Serving Services, 
1970-05,Housing & Utilities,29.857
1970-05,Transport,20.652
1970-06,Food,23.817
1970-06,Food Excl Food Serving Services, 
1970-06,Food Serving Services, 
1970-06,Housing & Utilities,29.857
1970-06,Transport,20.652
1970-07,Food,24.234
1970-07,Food Excl Food Serving Services, 
1970-07,Food Serving Services, 
1970-07,Housing & Utilities,29.857
1970-07,Transport,20.652
1970-08,Food,24.2
1970-08,Food Excl Food Serving Services, 
1970-08,Food Serving Services, 
1970-08,Housing & Utilities,29.857
1970-08,Transport,20.652
1970-09,Food,24.13
1970-09,Food Excl Food Serving Services, 
1970-09,Food Serving Services, 
1970-09,Housing & Utilities,29.857
1970-09,Transport,20.652
1970-10,Food,24.174
1970-10,Food Excl Food Serving Services, 
1970-10,Food Serving Services, 
1970-10,Housing & Utilities,29.857
1970-10,Transport,20.652
1970-11,Food,24.073
1970-11,Food Excl Food Serving Services, 
1970-11,Food Serving Services, 
1970-11,Housing & Utilities,29.857
1970-11,Transport,20.652
1970-12,Food,24.346
1970-12,Food Excl Food Serving Services, 
1970-12,Food Serving Services, 
1970-12,Housing & Utilities,29.857
1970-12,Transport,20.652
1971-01,Food,25.583
1971-01,Food Excl Food Serving Services, 
1971-01,Food Serving Services, 
1971-01,Housing & Utilities,29.876
1971-01,Transport,20.652
1971-02,Food,24.804
1971-02,Food Excl Food Serving Services, 
1971-02,Food Serving Services, 
1971-02,Housing & Utilities,29.876
1971-02,Transport,20.652
1971-03,Food,24.531
1971-03,Food Excl Food Serving Services, 
1971-03,Food Serving Services, 
1971-03,Housing & Utilities,30.112
1971-03,Transport,20.652
1971-04,Food,24.007
1971-04,Food Excl Food Serving Services, 
1971-04,Food Serving Services, 
1971-04,Housing & Utilities,30.112
1971-04,Transport,20.652
1971-05,Food,24.397
1971-05,Food Excl Food Serving Services, 
1971-05,Food Serving Services, 
1971-05,Housing & Utilities,30.503
1971-05,Transport,20.652
1971-06,Food,24.505
1971-06,Food Excl Food Serving Services, 
1971-06,Food Serving Services, 
1971-06,Housing & Utilities,30.365
1971-06,Transport,20.645
1971-07,Food,24.677
1971-07,Food Excl Food Serving Services, 
1971-07,Food Serving Services, 
1971-07,Housing & Utilities,30.471
1971-07,Transport,20.645
1971-08,Food,24.499
1971-08,Food Excl Food Serving Services, 
1971-08,Food Serving Services, 
1971-08,Housing & Utilities,30.336
1971-08,Transport,20.645
1971-09,Food,24.792
1971-09,Food Excl Food Serving Services, 
1971-09,Food Serving Services, 
1971-09,Housing & Utilities,30.513
1971-09,Transport,20.645
1971-10,Food,24.517
1971-10,Food Excl Food Serving Services, 
1971-10,Food Serving Services, 
1971-10,Housing & Utilities,30.537
1971-10,Transport,20.645
1971-11,Food,24.763
1971-11,Food Excl Food Serving Services, 
1971-11,Food Serving Services, 
1971-11,Housing & Utilities,30.418
1971-11,Transport,20.645
1971-12,Food,25.098
1971-12,Food Excl Food Serving Services, 
1971-12,Food Serving Services, 
1971-12,Housing & Utilities,30.628
1971-12,Transport,20.645
1972-01,Food,25.164
1972-01,Food Excl Food Serving Services, 
1972-01,Food Serving Services, 
1972-01,Housing & Utilities,30.628
1972-01,Transport,20.645
1972-02,Food,25.119
1972-02,Food Excl Food Serving Services, 
1972-02,Food Serving Services, 
1972-02,Housing & Utilities,30.628
1972-02,Transport,20.645
1972-03,Food,25.036
1972-03,Food Excl Food Serving Services, 
1972-03,Food Serving Services, 
1972-03,Housing & Utilities,30.682
1972-03,Transport,20.645
1972-04,Food,24.527
1972-04,Food Excl Food Serving Services, 
1972-04,Food Serving Services, 
1972-04,Housing & Utilities,30.682
1972-04,Transport,20.645
1972-05,Food,24.648
1972-05,Food Excl Food Serving Services, 
1972-05,Food Serving Services, 
1972-05,Housing & Utilities,30.823
1972-05,Transport,20.645
1972-06,Food,24.778
1972-06,Food Excl Food Serving Services, 
1972-06,Food Serving Services, 
1972-06,Housing & Utilities,30.823
1972-06,Transport,20.645
1972-07,Food,25.048
1972-07,Food Excl Food Serving Services, 
1972-07,Food Serving Services, 
1972-07,Housing & Utilities,30.823
1972-07,Transport,20.645
1972-08,Food,25.431
1972-08,Food Excl Food Serving Services, 
1972-08,Food Serving Services, 
1972-08,Housing & Utilities,30.823
1972-08,Transport,20.645
1972-09,Food,25.718
1972-09,Food Excl Food Serving Services, 
1972-09,Food Serving Services, 
1972-09,Housing & Utilities,30.823
1972-09,Transport,20.645
1972-10,Food,25.256
1972-10,Food Excl Food Serving Services, 
1972-10,Food Serving Services, 
1972-10,Housing & Utilities,30.857
1972-10,Transport,20.686
1972-11,Food,25.629
1972-11,Food Excl Food Serving Services, 
1972-11,Food Serving Services, 
1972-11,Housing & Utilities,30.949
1972-11,Transport,20.686
1972-12,Food,27.072
1972-12,Food Excl Food Serving Services, 
1972-12,Food Serving Services, 
1972-12,Housing & Utilities,30.949
1972-12,Transport,20.686
1973-01,Food,27.145
1973-01,Food Excl Food Serving Services, 
1973-01,Food Serving Services, 
1973-01,Housing & Utilities,30.949
1973-01,Transport,20.704
1973-02,Food,28.745
1973-02,Food Excl Food Serving Services, 
1973-02,Food Serving Services, 
1973-02,Housing & Utilities,31.538
1973-02,Transport,20.709
1973-03,Food,28.766
1973-03,Food Excl Food Serving Services, 
1973-03,Food Serving Services, 
1973-03,Housing & Utilities,31.538
1973-03,Transport,20.709
1973-04,Food,28.906
1973-04,Food Excl Food Serving Services, 
1973-04,Food Serving Services, 
1973-04,Housing & Utilities,31.553
1973-04,Transport,20.709
1973-05,Food,31.174
1973-05,Food Excl Food Serving Services, 
1973-05,Food Serving Services, 
1973-05,Housing & Utilities,31.965
1973-05,Transport,20.71
1973-06,Food,33.026
1973-06,Food Excl Food Serving Services, 
1973-06,Food Serving Services, 
1973-06,Housing & Utilities,31.976
1973-06,Transport,20.71
1973-07,Food,35.831
1973-07,Food Excl Food Serving Services, 
1973-07,Food Serving Services, 
1973-07,Housing & Utilities,31.976
1973-07,Transport,20.729
1973-08,Food,36.413
1973-08,Food Excl Food Serving Services, 
1973-08,Food Serving Services, 
1973-08,Housing & Utilities,31.976
1973-08,Transport,20.729
1973-09,Food,36.334
1973-09,Food Excl Food Serving Services, 
1973-09,Food Serving Services, 
1973-09,Housing & Utilities,31.97
1973-09,Transport,20.73
1973-10,Food,38.362
1973-10,Food Excl Food Serving Services, 
1973-10,Food Serving Services, 
1973-10,Housing & Utilities,31.992
1973-10,Transport,20.734
1973-11,Food,41.079
1973-11,Food Excl Food Serving Services, 
1973-11,Food Serving Services, 
1973-11,Housing & Utilities,32.406
1973-11,Transport,20.734
1973-12,Food,40.171
1973-12,Food Excl Food Serving Services, 
1973-12,Food Serving Services, 
1973-12,Housing & Utilities,32.412
1973-12,Transport,21.002
1974-01,Food,41.878
1974-01,Food Excl Food Serving Services, 
1974-01,Food Serving Services, 
1974-01,Housing & Utilities,35.133
1974-01,Transport,22.01
1974-02,Food,42.528
1974-02,Food Excl Food Serving Services, 
1974-02,Food Serving Services, 
1974-02,Housing & Utilities,35.068
1974-02,Transport,26.488
1974-03,Food,42.471
1974-03,Food Excl Food Serving Services, 
1974-03,Food Serving Services, 
1974-03,Housing & Utilities,35.517
1974-03,Transport,29.912
1974-04,Food,41.348
1974-04,Food Excl Food Serving Services, 
1974-04,Food Serving Services, 
1974-04,Housing & Utilities,35.557
1974-04,Transport,30.07
1974-05,Food,41.323
1974-05,Food Excl Food Serving Services, 
1974-05,Food Serving Services, 
1974-05,Housing & Utilities,35.792
1974-05,Transport,30.086
1974-06,Food,41.535
1974-06,Food Excl Food Serving Services, 
1974-06,Food Serving Services, 
1974-06,Housing & Utilities,35.758
1974-06,Transport,30.11
1974-07,Food,41.726
1974-07,Food Excl Food Serving Services, 
1974-07,Food Serving Services, 
1974-07,Housing & Utilities,37.153
1974-07,Transport,30.11
1974-08,Food,42.202
1974-08,Food Excl Food Serving Services, 
1974-08,Food Serving Services, 
1974-08,Housing & Utilities,37.138
1974-08,Transport,30.125
1974-09,Food,42.998
1974-09,Food Excl Food Serving Services, 
1974-09,Food Serving Services, 
1974-09,Housing & Utilities,37.146
1974-09,Transport,30.125
1974-10,Food,43.659
1974-10,Food Excl Food Serving Services, 
1974-10,Food Serving Services, 
1974-10,Housing & Utilities,37.159
1974-10,Transport,30.134
1974-11,Food,43.744
1974-11,Food Excl Food Serving Services, 
1974-11,Food Serving Services, 
1974-11,Housing & Utilities,37.46
1974-11,Transport,30.134
1974-12,Food,44.359
1974-12,Food Excl Food Serving Services, 
1974-12,Food Serving Services, 
1974-12,Housing & Utilities,37.452
1974-12,Transport,30.134
1975-01,Food,44.674
1975-01,Food Excl Food Serving Services, 
1975-01,Food Serving Services, 
1975-01,Housing & Utilities,37.451
1975-01,Transport,30.134
1975-02,Food,44.84
1975-02,Food Excl Food Serving Services, 
1975-02,Food Serving Services, 
1975-02,Housing & Utilities,37.449
1975-02,Transport,30.118
1975-03,Food,43.224
1975-03,Food Excl Food Serving Services, 
1975-03,Food Serving Services, 
1975-03,Housing & Utilities,37.427
1975-03,Transport,30.313
1975-04,Food,42.607
1975-04,Food Excl Food Serving Services, 
1975-04,Food Serving Services, 
1975-04,Housing & Utilities,37.463
1975-04,Transport,30.342
1975-05,Food,42.632
1975-05,Food Excl Food Serving Services, 
1975-05,Food Serving Services, 
1975-05,Housing & Utilities,38.002
1975-05,Transport,30.369
1975-06,Food,42.768
